player_id,player_name,age,team,position,height_cm,weight_kg,market_value_eur,matches_played,total_minutes,total_goals,total_assists,total_shots_on_target,total_xg,total_xa,avg_pass_accuracy,total_defensive_actions,total_distance_km,max_top_speed_kmh,avg_stamina_score,avg_player_rating
P00001,Kylian Griezmann,24,France,Goalkeeper,191,81,16574124,34,953,0,0,0,0.0,0.0,0.7311764705882353,19,89.1,30.3,80.5529411764706,2.3294117647058825
P00002,Antoine Tchouameni,29,France,Goalkeeper,190,84,53959475,34,830,0,0,0,0.0,0.0,0.7288235294117648,19,79.9,32.8,80.19411764705882,1.961764705882353
P00003,Ousmane Hernandez,24,France,Goalkeeper,191,77,4935397,34,922,0,0,0,0.0,0.0,0.7085294117647059,20,86.7,32.1,79.9205882352941,2.038235294117647
P00004,Kylian Camavinga,27,France,Defender,183,80,3795900,34,1299,0,0,1,0.060000000000000005,0.01,0.8117647058823529,142,141.1,37.0,81.89411764705882,3.4735294117647055
P00005,Antoine Kounde,24,France,Defender,188,79,21832889,34,1298,0,2,0,0.18,0.2,0.821764705882353,149,138.70000000000002,35.8,85.01470588235294,4.270588235294118
P00006,Ousmane Upamecano,25,France,Defender,185,74,3260134,34,1372,0,0,0,0.52,0.1,0.821764705882353,171,147.3,35.6,82.78235294117647,3.644117647058824
P00007,Aurelien Rabiot,25,France,Defender,184,76,21875188,34,1173,1,1,0,0.01,0.18,0.8138235294117646,165,115.7,34.8,80.27352941176471,3.461764705882353
P00008,Eduardo Sissoko,22,France,Defender,176,76,3056356,34,1449,0,1,1,0.22000000000000003,0.04,0.8323529411764706,161,155.79999999999998,35.9,81.4735294117647,3.979411764705883
P00009,Theo Varane,29,France,Defender,188,81,43758955,34,1722,0,1,0,0.01,0.17,0.818529411764706,212,174.1,35.5,86.84117647058824,4.985294117647059
P00010,Lucas Pavard,23,France,Defender,183,81,2280387,34,1482,3,2,0,0.0,0.13,0.8188235294117647,164,153.5,36.3,82.14411764705882,3.8735294117647054
P00011,Randal Diarra,26,France,Defender,189,80,2897170,34,1358,0,0,2,0.05,0.12,0.8147058823529412,164,154.7,35.7,80.03529411764706,3.5264705882352945
P00012,Olivier Badiashile,24,France,Defender,185,73,10428093,34,1553,1,0,2,0.01,0.07,0.8232352941176471,173,162.2,35.5,82.51176470588236,4.144117647058824
P00013,Kylian Maignan,27,France,Midfielder,173,68,5499220,34,1100,2,4,0,0.21000000000000002,0.92,0.8452941176470588,64,133.0,37.0,81.82058823529412,3.0588235294117645
P00014,Antoine Saliba,28,France,Midfielder,184,78,17554435,34,1034,0,7,0,0.64,1.19,0.8608823529411764,49,128.3,35.7,84.3,3.4794117647058824
P00015,Ousmane Konate,22,France,Midfielder,177,76,4399784,34,1160,1,4,0,0.13,1.44,0.8585294117647058,53,144.1,35.5,81.12647058823529,4.276470588235294
P00016,Aurelien Thuram,27,France,Midfielder,180,75,13339861,34,1086,0,2,2,0.37,0.74,0.8502941176470589,67,126.1,36.7,75.0,3.126470588235294
P00017,Eduardo Olise,22,France,Midfielder,174,71,3760393,34,1266,2,1,0,0.47,0.87,0.8591176470588235,80,157.7,36.2,82.68823529411765,3.9558823529411766
P00018,Theo Mukiele,18,France,Midfielder,178,74,51401700,34,1916,2,7,2,0.7,2.3000000000000003,0.8288235294117647,103,223.6,35.3,84.25588235294117,4.638235294117647
P00019,Lucas Todibo,31,France,Midfielder,184,69,31444197,34,1014,2,2,0,0.09,0.44,0.8494117647058823,61,123.7,35.8,78.91764705882352,3.176470588235294
P00020,Randal Griezmann,20,France,Midfielder,175,73,80603351,34,937,1,3,0,0.06,0.8,0.8461764705882353,49,114.6,35.2,82.0264705882353,3.338235294117647
P00021,Kylian Olise,22,France,Forward,175,73,13994073,34,1232,5,2,6,0.8,0.93,0.7714705882352941,23,132.9,36.4,81.69117647058823,3.75
P00022,Antoine Mukiele,23,France,Forward,185,78,1745271,34,975,2,2,3,0.93,0.14,0.7667647058823529,14,110.8,36.3,79.04705882352941,2.9647058823529413
